epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,135.743,0.60521,0.67491,1.30591,0.87055,0.95248,0.95908,0.88667,0.46572,0.54605,1.23352,0.0005512,0.0005512,0.0005512
70,137.664,0.61065,0.70289,1.28446,0.87124,0.86391,0.93324,0.85551,0.48552,0.67502,1.24695,0.0005446,0.0005446,0.0005446
71,139.532,0.59071,0.64862,1.28995,0.90056,0.93753,0.96863,0.88722,0.46937,0.53365,1.23823,0.000538,0.000538,0.000538
72,141.427,0.59264,0.65612,1.32847,0.87118,0.93616,0.96449,0.88675,0.45804,0.54471,1.23324,0.0005314,0.0005314,0.0005314
73,143.565,0.60537,0.68374,1.29512,0.87674,0.94531,0.96409,0.88624,0.47242,0.56983,1.25208,0.0005248,0.0005248,0.0005248
74,145.575,0.60434,0.6657,1.31732,0.91782,0.92348,0.98267,0.89387,0.48794,0.56211,1.26865,0.0005182,0.0005182,0.0005182
75,147.607,0.58765,0.63756,1.25998,0.89124,0.94611,0.975,0.881,0.51473,0.56445,1.27965,0.0005116,0.0005116,0.0005116
76,149.572,0.5667,0.63942,1.2697,0.85467,0.96319,0.96948,0.88794,0.46018,0.53232,1.22986,0.000505,0.000505,0.000505
77,151.521,0.5837,0.69205,1.30714,0.83147,0.95253,0.96323,0.88747,0.44145,0.6309,1.209,0.0004984,0.0004984,0.0004984
78,153.489,0.58141,0.65838,1.29426,0.86285,0.93425,0.96479,0.88567,0.47223,0.58529,1.21843,0.0004918,0.0004918,0.0004918
79,155.392,0.60751,0.68113,1.2833,0.87526,0.87768,0.95765,0.87163,0.48256,0.63649,1.23152,0.0004852,0.0004852,0.0004852
80,157.351,0.65728,0.71448,1.34169,0.91736,0.91137,0.96889,0.8778,0.48614,0.53934,1.24447,0.0004786,0.0004786,0.0004786
81,159.39,0.61295,0.66064,1.3069,0.88306,0.90601,0.95653,0.87593,0.48338,0.61335,1.24633,0.000472,0.000472,0.000472
82,161.301,0.59821,0.64602,1.28889,0.86826,0.94376,0.96098,0.88577,0.44946,0.57922,1.22513,0.0004654,0.0004654,0.0004654
83,163.204,0.58244,0.64409,1.30184,0.88918,0.90783,0.95904,0.89022,0.44869,0.59443,1.22702,0.0004588,0.0004588,0.0004588
84,165.05,0.58936,0.65497,1.29016,0.86206,0.90989,0.95047,0.87991,0.47655,0.5852,1.24885,0.0004522,0.0004522,0.0004522
85,166.971,0.62192,0.66737,1.32608,0.86935,0.94308,0.95391,0.88813,0.45002,0.56935,1.21017,0.0004456,0.0004456,0.0004456
86,168.893,0.57169,0.6182,1.25586,0.87436,0.92234,0.96164,0.88645,0.46382,0.54428,1.20828,0.000439,0.000439,0.000439
87,170.879,0.56848,0.61279,1.27721,0.90436,0.94255,0.95616,0.88302,0.47066,0.57644,1.21949,0.0004324,0.0004324,0.0004324
88,172.862,0.56712,0.63627,1.27168,0.88646,0.93546,0.94529,0.86864,0.47494,0.61751,1.21373,0.0004258,0.0004258,0.0004258
89,174.931,0.55798,0.62893,1.28319,0.87969,0.93553,0.96278,0.88969,0.45803,0.55191,1.2174,0.0004192,0.0004192,0.0004192
90,176.869,0.54262,0.58461,1.25705,0.86641,0.94947,0.95838,0.89408,0.44326,0.5707,1.20139,0.0004126,0.0004126,0.0004126
91,178.832,0.59631,0.65152,1.29681,0.87969,0.91349,0.95707,0.88854,0.45874,0.58345,1.21114,0.000406,0.000406,0.000406
92,180.733,0.58755,0.61588,1.2911,0.89663,0.92211,0.96407,0.89309,0.44316,0.55258,1.2084,0.0003994,0.0003994,0.0003994
93,182.638,0.61016,0.63559,1.29348,0.90147,0.90381,0.96082,0.89169,0.44749,0.60961,1.21331,0.0003928,0.0003928,0.0003928
94,184.578,0.58743,0.63533,1.3271,0.92792,0.89946,0.95856,0.89378,0.42982,0.5683,1.19909,0.0003862,0.0003862,0.0003862
95,186.476,0.58829,0.62141,1.27777,0.87767,0.91734,0.941,0.86683,0.46193,0.5683,1.21591,0.0003796,0.0003796,0.0003796
96,188.34,0.58751,0.60024,1.27974,0.9223,0.87767,0.93728,0.87059,0.44432,0.59425,1.19877,0.000373,0.000373,0.000373
97,190.409,0.57447,0.60689,1.30951,0.8994,0.87066,0.93043,0.85483,0.46207,0.60841,1.22837,0.0003664,0.0003664,0.0003664
98,192.405,0.55504,0.59458,1.27451,0.90347,0.88822,0.95104,0.87635,0.45495,0.56244,1.21899,0.0003598,0.0003598,0.0003598
99,194.438,0.56631,0.59966,1.27217,0.91407,0.91371,0.95944,0.89275,0.44696,0.51609,1.21232,0.0003532,0.0003532,0.0003532
100,196.505,0.55345,0.59873,1.28708,0.87612,0.93622,0.96623,0.89258,0.45769,0.57304,1.21891,0.0003466,0.0003466,0.0003466
101,198.42,0.56351,0.59048,1.29575,0.87485,0.96278,0.96658,0.90408,0.44411,0.5215,1.1885,0.00034,0.00034,0.00034
