epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,245.886,0.58098,0.59334,1.26654,0.96765,0.88818,0.95565,0.86738,0.52806,0.55433,1.25415,0.0007822,0.0007822,0.0007822
57,250.242,0.55549,0.58028,1.23102,0.9439,0.87955,0.95688,0.87504,0.51162,0.50779,1.25409,0.00077824,0.00077824,0.00077824
58,254.656,0.56227,0.59257,1.26972,0.91416,0.89905,0.95267,0.86837,0.53815,0.53689,1.28023,0.00077428,0.00077428,0.00077428
59,259.037,0.57264,0.61792,1.27195,0.94181,0.89043,0.95358,0.86321,0.54888,0.51193,1.2819,0.00077032,0.00077032,0.00077032
60,263.525,0.58673,0.58152,1.28492,0.95136,0.90109,0.96357,0.87581,0.49301,0.48487,1.25799,0.00076636,0.00076636,0.00076636
61,267.924,0.55916,0.55816,1.21025,0.90408,0.91166,0.95363,0.87414,0.50098,0.52426,1.23886,0.0007624,0.0007624,0.0007624
62,272.351,0.54054,0.54997,1.2263,0.95527,0.88115,0.96095,0.87894,0.5082,0.5083,1.23524,0.00075844,0.00075844,0.00075844
63,276.769,0.57057,0.56416,1.26765,0.96461,0.90155,0.96571,0.87907,0.50706,0.48577,1.22337,0.00075448,0.00075448,0.00075448
64,281.105,0.51921,0.52227,1.1958,0.91746,0.93122,0.95545,0.87006,0.51465,0.49142,1.22864,0.00075052,0.00075052,0.00075052
65,285.419,0.58999,0.60704,1.24248,0.92293,0.93141,0.95479,0.87825,0.48328,0.51075,1.25064,0.00074656,0.00074656,0.00074656
66,289.789,0.55726,0.56697,1.27266,0.92889,0.94051,0.9745,0.8992,0.47061,0.44025,1.21116,0.0007426,0.0007426,0.0007426
67,294.137,0.54235,0.5398,1.22855,0.93988,0.9254,0.97107,0.88384,0.50137,0.43939,1.21133,0.00073864,0.00073864,0.00073864
68,298.581,0.52732,0.52345,1.23563,0.96136,0.92297,0.97949,0.89286,0.50967,0.4166,1.24892,0.00073468,0.00073468,0.00073468
69,303.067,0.54472,0.55279,1.25973,0.9718,0.91337,0.9785,0.88893,0.50948,0.4001,1.2748,0.00073072,0.00073072,0.00073072
70,307.34,0.52849,0.49872,1.2141,0.89961,0.9228,0.96089,0.86882,0.54146,0.45292,1.29386,0.00072676,0.00072676,0.00072676
71,311.587,0.50352,0.49841,1.17965,0.91692,0.9084,0.95752,0.88034,0.48482,0.48338,1.21316,0.0007228,0.0007228,0.0007228
72,315.914,0.54709,0.52175,1.20611,0.902,0.89814,0.9535,0.86144,0.51452,0.52598,1.2344,0.00071884,0.00071884,0.00071884
73,320.216,0.54972,0.54431,1.24626,0.98503,0.87514,0.95939,0.8827,0.48388,0.48635,1.21248,0.00071488,0.00071488,0.00071488
74,324.554,0.57166,0.56237,1.24057,0.98378,0.87887,0.95569,0.87183,0.53657,0.47853,1.24275,0.00071092,0.00071092,0.00071092
75,328.873,0.55082,0.52625,1.25079,0.9723,0.88835,0.96629,0.88717,0.51203,0.44058,1.23469,0.00070696,0.00070696,0.00070696
76,333.19,0.55209,0.52154,1.24072,0.97235,0.90919,0.97265,0.89213,0.50051,0.4165,1.21968,0.000703,0.000703,0.000703
77,337.46,0.53485,0.48685,1.20253,0.96558,0.90919,0.97007,0.87484,0.52671,0.43691,1.23184,0.00069904,0.00069904,0.00069904
78,341.821,0.55944,0.53787,1.26168,0.95828,0.90489,0.95756,0.87489,0.52935,0.48389,1.24346,0.00069508,0.00069508,0.00069508
79,346.165,0.52857,0.48666,1.20303,0.9335,0.90191,0.95606,0.88189,0.48619,0.4679,1.22995,0.00069112,0.00069112,0.00069112
80,350.488,0.53527,0.51767,1.23276,0.9756,0.87922,0.9568,0.87705,0.49507,0.48098,1.2402,0.00068716,0.00068716,0.00068716
81,354.823,0.52335,0.48215,1.21081,0.96935,0.8729,0.95605,0.88859,0.4865,0.5195,1.24498,0.0006832,0.0006832,0.0006832
82,359.158,0.50116,0.47771,1.18605,0.95468,0.90212,0.9561,0.89086,0.47924,0.5022,1.22066,0.00067924,0.00067924,0.00067924
83,363.478,0.51818,0.50647,1.23366,0.94973,0.88838,0.96098,0.88222,0.51571,0.52613,1.25046,0.00067528,0.00067528,0.00067528
84,367.841,0.5211,0.50798,1.19652,0.94605,0.86061,0.95108,0.87012,0.51961,0.5682,1.24324,0.00067132,0.00067132,0.00067132
85,372.15,0.54697,0.53071,1.2211,0.98007,0.8677,0.96279,0.87404,0.50946,0.4917,1.25227,0.00066736,0.00066736,0.00066736
86,376.464,0.49717,0.48048,1.18812,0.98074,0.89808,0.96958,0.87517,0.51006,0.45408,1.29793,0.0006634,0.0006634,0.0006634
87,380.714,0.52957,0.48279,1.24381,0.97405,0.9176,0.96892,0.87765,0.52081,0.4266,1.27523,0.00065944,0.00065944,0.00065944
88,385.012,0.51238,0.48334,1.21953,0.95639,0.91473,0.95595,0.87907,0.50137,0.43058,1.22821,0.00065548,0.00065548,0.00065548
89,389.326,0.51646,0.47212,1.21509,0.95723,0.91363,0.95946,0.8833,0.49395,0.44007,1.24194,0.00065152,0.00065152,0.00065152
90,393.692,0.49879,0.45881,1.20232,0.94311,0.89808,0.95883,0.88539,0.49666,0.46118,1.26024,0.00064756,0.00064756,0.00064756
91,397.951,0.51272,0.45896,1.21696,0.91176,0.91488,0.9585,0.87816,0.50479,0.47094,1.25001,0.0006436,0.0006436,0.0006436
92,402.306,0.52111,0.47552,1.25247,0.9541,0.86918,0.9615,0.88214,0.49678,0.48593,1.26832,0.00063964,0.00063964,0.00063964
93,406.617,0.52889,0.48598,1.26788,0.9363,0.90919,0.96729,0.88382,0.50838,0.45272,1.2633,0.00063568,0.00063568,0.00063568
