epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,59.7603,0.40101,0.62784,0.83709,0.81002,0.90883,0.91138,0.84703,0.42643,0.74563,0.81251,0.0004654,0.0004654,0.0004654
56,60.8216,0.37029,0.61191,0.78659,0.82511,0.90577,0.93304,0.85492,0.42543,0.65644,0.80878,0.0004555,0.0004555,0.0004555
57,61.8541,0.3405,1.67329,0.71251,0.79356,0.90853,0.93285,0.85653,0.42026,0.64677,0.81028,0.0004456,0.0004456,0.0004456
58,62.8626,0.38173,0.63327,0.83078,0.73216,0.89752,0.90923,0.83596,0.40814,0.65144,0.80948,0.0004357,0.0004357,0.0004357
59,63.8932,0.37674,0.58545,0.81754,0.68823,0.94444,0.90777,0.85788,0.39849,0.67954,0.80806,0.0004258,0.0004258,0.0004258
60,65.0036,0.42525,0.64154,0.85763,0.78262,0.94024,0.92092,0.85414,0.3979,0.67201,0.81115,0.0004159,0.0004159,0.0004159
61,66.0269,0.4924,0.94727,0.96146,0.85616,0.90756,0.93952,0.86756,0.40049,0.66003,0.80976,0.000406,0.000406,0.000406
62,67.1052,0.42416,0.63491,0.86114,0.84015,0.88016,0.94601,0.88734,0.40526,0.67321,0.81169,0.0003961,0.0003961,0.0003961
63,68.1699,0.39013,0.60308,0.86361,0.82977,0.86965,0.93156,0.86638,0.41082,0.68601,0.81051,0.0003862,0.0003862,0.0003862
64,69.3903,0.37424,0.63068,0.83862,0.90235,0.79723,0.92028,0.85248,0.41316,0.68896,0.80973,0.0003763,0.0003763,0.0003763
65,70.4925,0.39224,0.61361,0.82995,0.91271,0.80021,0.91878,0.85086,0.40909,0.6665,0.80815,0.0003664,0.0003664,0.0003664
66,71.6625,0.42557,0.65016,0.86227,0.88599,0.82774,0.93268,0.86142,0.41412,0.65034,0.80738,0.0003565,0.0003565,0.0003565
67,72.7343,0.40464,0.59852,0.83008,0.91411,0.81566,0.9278,0.85654,0.42235,0.6215,0.80803,0.0003466,0.0003466,0.0003466
68,73.8149,0.39908,0.93227,0.85792,0.92118,0.83335,0.9393,0.88248,0.4069,0.58368,0.80722,0.0003367,0.0003367,0.0003367
69,74.9066,0.40519,0.59784,0.85653,0.92527,0.83556,0.93997,0.88858,0.40039,0.57654,0.80674,0.0003268,0.0003268,0.0003268
70,75.9825,0.3789,0.60016,0.83021,0.92756,0.82597,0.95586,0.9,0.39108,0.58151,0.80335,0.0003169,0.0003169,0.0003169
71,77.0856,0.37986,0.59245,0.85255,0.93556,0.80595,0.9579,0.88892,0.39135,0.59616,0.80096,0.000307,0.000307,0.000307
72,78.1653,0.38326,0.55907,0.83277,0.93445,0.8054,0.96101,0.87678,0.40159,0.60273,0.80236,0.0002971,0.0002971,0.0002971
73,79.3859,0.39063,0.66318,0.84527,0.93026,0.80355,0.96247,0.88904,0.40052,0.60185,0.80333,0.0002872,0.0002872,0.0002872
74,80.5336,0.3752,0.51748,0.84736,0.90401,0.80153,0.96194,0.89149,0.38879,0.63103,0.80349,0.0002773,0.0002773,0.0002773
75,81.7067,0.38363,0.56095,0.83489,0.86512,0.86719,0.94429,0.88462,0.38029,0.63013,0.80276,0.0002674,0.0002674,0.0002674
76,82.8045,0.35249,0.54744,0.83817,0.84103,0.90453,0.94429,0.87832,0.38137,0.64377,0.80314,0.0002575,0.0002575,0.0002575
77,83.8852,0.38631,0.63634,0.86729,0.87766,0.86888,0.92594,0.87315,0.3772,0.64756,0.80228,0.0002476,0.0002476,0.0002476
78,85.0062,0.42642,0.5958,0.88129,0.88403,0.87157,0.9237,0.88243,0.37147,0.6272,0.80084,0.0002377,0.0002377,0.0002377
79,86.143,0.38393,0.56135,0.83757,0.88377,0.88599,0.92767,0.85827,0.38185,0.58681,0.80244,0.0002278,0.0002278,0.0002278
80,87.2526,0.37105,0.62924,0.84983,0.86988,0.91645,0.92942,0.85808,0.3918,0.56004,0.80307,0.0002179,0.0002179,0.0002179
81,88.4688,0.37232,0.52404,0.81215,0.84567,0.9478,0.936,0.8685,0.39147,0.54402,0.80383,0.000208,0.000208,0.000208
